episode,phase,total_reward,steps,epsilon,success
407,warmup,49.0000,48,0.815829,1
408,warmup,-153.0000,79,0.815421,1
409,warmup,59.0000,38,0.815013,1
410,warmup,-275.0000,125,0.814606,1
411,warmup,-45.0000,123,0.814198,1
412,warmup,-269.0000,195,0.813791,1
413,warmup,-49.0000,70,0.813384,1
414,warmup,-49.0000,89,0.812978,1
415,warmup,-363.0000,175,0.812571,1
416,warmup,-7.0000,66,0.812165,1
417,warmup,-69.0000,90,0.811759,1
418,warmup,-99.0000,101,0.811353,1
419,warmup,-121.0000,104,0.810947,1
420,warmup,-55.0000,76,0.810542,1
421,warmup,-179.0000,67,0.810136,1
422,warmup,19.0000,59,0.809731,1
423,warmup,99.0000,36,0.809326,1
424,warmup,-15.0000,93,0.808922,1
425,warmup,55.0000,42,0.808517,1
426,warmup,-55.0000,95,0.808113,1
427,warmup,-87.0000,70,0.807709,1
428,warmup,-337.0000,130,0.807305,1
429,warmup,-197.0000,104,0.806902,1
430,warmup,5.0000,35,0.806498,1
431,warmup,17.0000,42,0.806095,1
432,warmup,-109.0000,92,0.805692,1
433,warmup,11.0000,48,0.805289,1
434,warmup,-467.0000,165,0.804886,1
435,warmup,-143.0000,69,0.804484,1
436,warmup,-347.0000,140,0.804082,1
437,warmup,-399.0000,154,0.803680,1
438,warmup,-27.0000,48,0.803278,1
439,warmup,87.0000,48,0.802876,1
440,warmup,-39.0000,60,0.802475,1
441,warmup,27.0000,70,0.802073,1
442,warmup,-57.0000,97,0.801672,1
443,warmup,-89.0000,91,0.801272,1
444,warmup,43.0000,54,0.800871,1
445,warmup,-137.0000,101,0.800470,1
446,warmup,-205.0000,150,0.800070,1
447,warmup,63.0000,34,0.799670,1
448,warmup,-131.0000,133,0.799270,1
449,warmup,-241.0000,110,0.798871,1
450,warmup,-167.0000,150,0.798471,1
451,warmup,47.0000,69,0.798072,1
452,warmup,-55.0000,76,0.797673,1
453,warmup,-39.0000,79,0.797274,1
454,warmup,-243.0000,188,0.796876,1
455,warmup,-229.0000,117,0.796477,1
456,warmup,69.0000,47,0.796079,1
457,warmup,29.0000,49,0.795681,1
458,warmup,43.0000,54,0.795283,1
459,warmup,-17.0000,76,0.794885,1
460,warmup,-3.0000,62,0.794488,1
461,warmup,-111.0000,94,0.794091,1
462,warmup,-59.0000,61,0.793694,1
463,warmup,-193.0000,100,0.793297,1
464,warmup,-239.0000,89,0.792900,1
465,warmup,-143.0000,107,0.792504,1
466,warmup,39.0000,58,0.792107,1
467,warmup,13.0000,84,0.791711,1
468,warmup,-45.0000,142,0.791316,1
469,warmup,-329.0000,236,0.790920,1
470,warmup,35.0000,43,0.790524,1
471,warmup,-79.0000,100,0.790129,1
472,warmup,45.0000,52,0.789734,1
473,warmup,-113.0000,96,0.789339,1
474,warmup,-101.0000,103,0.788945,1
475,warmup,63.0000,53,0.788550,1
476,warmup,69.0000,47,0.788156,1
477,warmup,21.0000,38,0.787762,1
478,warmup,-131.0000,114,0.787368,1
479,warmup,79.0000,37,0.786974,1
480,warmup,1.0000,115,0.786581,1
481,warmup,59.0000,57,0.786187,1
482,warmup,109.0000,26,0.785794,1
483,warmup,71.0000,26,0.785401,1
484,warmup,-43.0000,83,0.785009,1
485,warmup,-61.0000,63,0.784616,1
486,warmup,-63.0000,65,0.784224,1
487,warmup,39.0000,39,0.783832,1
488,warmup,53.0000,82,0.783440,1
489,warmup,-103.0000,86,0.783048,1
490,warmup,-195.0000,121,0.782657,1
491,warmup,35.0000,62,0.782265,1
492,warmup,27.0000,32,0.781874,1
493,warmup,81.0000,35,0.781483,1
494,warmup,5.0000,92,0.781092,1
495,warmup,-45.0000,104,0.780702,1
496,warmup,-239.0000,108,0.780312,1
497,warmup,-23.0000,44,0.779921,1
498,warmup,-73.0000,75,0.779531,1
499,warmup,-3.0000,43,0.779142,1
500,warmup,-105.0000,69,0.778752,1
501,warmup,5.0000,54,0.778363,1
502,warmup,-69.0000,52,0.777974,1
503,warmup,-195.0000,83,0.777585,1
504,warmup,-51.0000,91,0.777196,1
505,warmup,-105.0000,69,0.776807,1
506,warmup,-57.0000,59,0.776419,1
507,warmup,-219.0000,107,0.776031,1
508,warmup,-73.0000,94,0.775643,1
509,warmup,-347.0000,102,0.775255,1
510,warmup,-263.0000,151,0.774867,1
511,warmup,-37.0000,58,0.774480,1
512,warmup,-169.0000,114,0.774092,1
513,warmup,85.0000,31,0.773705,1
514,warmup,41.0000,37,0.773319,1
515,warmup,-27.0000,105,0.772932,1
516,warmup,-77.0000,60,0.772545,1
517,warmup,-39.0000,79,0.772159,1
518,warmup,-275.0000,182,0.771773,1
519,warmup,-1.0000,60,0.771387,1
520,warmup,-69.0000,71,0.771001,1
521,warmup,-241.0000,110,0.770616,1
522,warmup,-281.0000,131,0.770231,1
523,warmup,-127.0000,72,0.769846,1
524,warmup,9.0000,50,0.769461,1
